,class,Fp1_delta,Fp1_theta,Fp1_alpha,Fp1_beta,Fp1_gamma,Fp2_delta,Fp2_theta,Fp2_alpha,Fp2_beta,Fp2_gamma,O1_delta,O1_theta,O1_alpha,O1_beta,O1_gamma,O2_delta,O2_theta,O2_alpha,O2_beta,O2_gamma,mean_rr,sdnn,cv,rmssd,pnn50,mean_ppg_amplitude,temperament
0,0,171.65967987754806,23.84355813614003,13.031509716345692,10.868753824618853,0.09475036384409243,33.0294075831294,5.259612277956235,3.423036687115125,2.3327457383728305,0.019524405018997378,76.31317544700474,43.34278909540372,31.394015413964485,10.348263618240287,0.09814094382158114,67.51508076580414,30.36092431565045,30.915096012328256,21.412300124160392,0.36966663261007415,874.6666666666667,74.2540683509439,0.0848941330231828,58.275209137333746,0.34375,2.900144925319419,0
1,0,103.30692197922265,15.326994051473314,9.401557228217138,8.262991696755478,0.09725698396361729,20.506263066337386,3.5732977370363046,2.537821928598678,1.8479956445363728,0.02107808783766736,63.00015556985234,26.392648808251217,19.46625494374009,10.375718901398756,0.09177283504335962,53.54619252858044,19.517665401242823,24.411345730285735,20.714832458684608,0.3420906992099214,863.6470588235294,69.75884101802637,0.08077239458564558,54.52605715702313,0.3939393939393939,2.765146517494392,0
2,0,70.51571067317543,13.93239226530169,9.624784476925626,8.7322448236426,0.08904646553495106,13.452310625809908,2.9977829700353724,2.604166731190566,1.979624981355539,0.019617199426640235,40.241110989580605,21.721323679365547,23.008315233428547,11.297939363502175,0.09954705309777531,37.830999344182906,17.072918977868998,27.667764846893675,22.12195589600317,0.3548810903536172,876.969696969697,84.68193610818292,0.09656198657809387,99.05301610753713,0.46875,3.0746862917543707,0
3,0,356.3129488214741,44.48007397345748,14.35544930161351,11.09840883309871,0.10456158785366919,62.5249632034965,9.018619546492458,3.2371067207907145,2.492249937027782,0.0227285559361274,100.24618183500485,34.35418745748863,20.216988807124658,12.113585205549905,0.09987127224685738,79.40321515992443,26.117055558460507,26.761255403300535,20.067095391147994,0.3783124743889733,904.2500000000002,88.98531955763355,0.09840787343946202,108.96344459526013,0.5483870967741935,3.663713885300453,0
4,0,332.72658376628107,38.860968987646,15.868366593185439,10.44518559782507,0.09967214038258733,58.211604710987075,8.54043579977142,3.815443927124157,2.453649862178911,0.021592008804054902,118.20177111774854,44.13067729000494,21.76801547828451,12.85792972396299,0.10284210485220907,89.30870494628446,32.58658630944683,25.870803783209126,20.106515583011927,0.38861097951892637,884.2424242424242,75.15277369425036,0.08499114228616388,68.34471449936487,0.5,3.87506875349225,0
5,0,366.31683897678244,152.57772115025716,30.3345064249937,33.645229504939095,6.217574727634808,67.20943230002443,31.876983978825063,6.697019915449005,6.9747860149318806,1.23042951651122,82.0879520536954,50.23758052832229,33.28429021676839,12.484458054250851,0.10634945413746696,63.911113498582516,41.45830510667702,35.736930721926385,22.831357955935168,0.41870314031055667,864.9411764705883,76.76526249448081,0.08875200370009342,62.97281760867512,0.45454545454545453,3.7699586999435075,0
6,0,523.8796721568709,257.60650483274765,37.632657787516564,51.99098905833652,11.076941581078982,94.68518857691134,52.51548823328009,7.660006231122643,10.36289293559865,2.190790940857877,93.47337197543676,45.94962368798047,30.20146403675608,12.056920297008496,0.1019895857991371,71.34451800506588,38.28401911300104,33.19884653703046,22.74339018073891,0.39802674261593485,891.3939393939391,103.64902899748415,0.11627746657998973,63.23764701505063,0.4375,3.4458895163851313,0
7,0,121.68534535005388,22.48253028070878,14.959458564834488,11.080435490068654,0.08718671194566084,23.152176924478617,5.558417080408528,3.359614726760694,2.463059638650186,0.01989353871568621,87.34144771210092,41.46108947375079,23.075338150860027,11.954065601231957,0.08781011218162303,70.70205579864901,35.25712143210308,24.98760251794394,20.274393847527946,0.3505361648481616,917.7500000000002,89.83389690010156,0.09788493260702974,62.556297225624974,0.45161290322580644,4.4431182322324485,0
8,0,71.42860916515856,19.27505678679842,15.063308354707187,10.13332732514818,0.09316152241622953,15.59088824642673,4.62975569244188,3.7030435686965895,2.2265975114078596,0.02117552325933806,73.56317515875342,42.473873155028215,29.32896993058496,12.347857079766136,0.0953109437053556,63.4940902413924,33.298185519376986,30.941576544965557,19.776090430819714,0.38104656776572976,894.3030303030299,64.249749439435,0.07184337664344524,61.45323425174422,0.53125,5.339056990453062,0
9,0,84.74392731268797,22.229334404350016,15.265539404839815,10.655317710749763,0.10226323270248282,18.650820256880063,4.877549782128409,4.457713984962503,2.3101746864403285,0.021775199532012932,68.37561343169448,29.543283476585238,36.45758872418758,13.800429245257423,0.1321563998716236,56.90322835631205,24.250402276379695,31.88341531188266,24.345813662792537,0.43292830193751664,817.7142857142858,93.90000044746327,0.11483228566251621,48.734575236984895,0.3235294117647059,3.902251007443146,0
